library,P1L1,P2L1,P1H1,P2H1,P3L1,P3H1,P1L2,P2L2,P1H2,P2H2,P3L2,P3H2
OG0029999:,381.73,502.86,637.58,336.16,514.04,413.55,1018.67,1484.38,524.93,1567,579.89,1021.47
OG0030000:,517.58,2643.59,1393.63,1042.75,677.54,1215.04,1599.58,1745.7,1181.77,1845.4,1605.72,1594.21
OG0030001:,138.51,730.11,580.43,349.44,303.11,507.4,1029.71,1089.72,780.13,1240.73,1037.08,1296.13
OG0030002:,819.07,2116.43,1831.99,1413.13,2041.55,1709.47,2510.81,3097.25,1228.54,3338.01,2114.93,2691.99
OG0030003:,115,87,189.36,59.87,148.98,136,667.55,1000.3,291.39,961.62,679.42,734.88
OG0030004:,198.96,234.73,421.94,250.51,377.62,403.21,948.64,1074.09,247.29,1052.47,700.05,880.6
OG0030005:,75,145,369,123.99,224,407.17,2860.96,3368.21,1304.94,3065.38,3742.93,2899.39
OG0030006:,218.99,1280.77,542.34,319.87,543.21,478.88,321.56,269.26,133,397.96,322.03,433
OG0030007:,357.86,1539.32,1039.13,462.72,678.42,947.01,1497.26,1847.3,651.54,1724.18,1180.4,1506.43
OG0030008:,299,364,839,497.6,712,928.79,3611,3656,2609.05,3808.29,2893.2,3142
OG0030009:,72,211.8,141,59,216,295.8,1933.62,1053.9,300.96,1092.27,1190.13,808.4
OG0030010:,874.45,2745.95,1602.95,834.04,1061.18,1411.81,1461.86,1692.01,550.63,1814.67,1057.72,1357.65
OG0030011:,1552.98,3979.73,3023.37,1892.63,1562.56,2593.64,5213.67,4793.95,2237.63,4659.42,4629.03,4131.85
OG0030012:,17,322.93,545,21,716.82,663,59,1392,274.74,39,168.98,755
OG0030013:,30.27,120.32,116.18,59.22,73.36,78.2,104.7,574.91,81.96,95.6,89.62,180.63
OG0030014:,63,46.8,53.18,50.11,69.22,20.49,255.07,223,65,133.34,156.49,243
OG0030015:,47.35,166.93,95.17,84.96,140.97,104.52,27.09,68.84,11.15,61.65,27.07,23.77
OG0030016:,1,3,6,1,50,102,4,1228.58,6,3,2,36
OG0030017:,22,34,53,35,36,102,280,411,343.67,428,316,248
OG0030018:,1,34.44,31,96,4,34,18,52,18,41,14,9
OG0030019:,59.99,105.04,136.47,82.01,66.86,103.75,86.49,91.39,23.94,69.17,53.56,55.9
OG0030020:,9,30.37,88.51,62.43,5,99.18,21.28,25.67,6.11,14.27,7.06,6.02
OG0030021:,15,17.56,56.29,54.81,47.46,41,43,74.37,17,119.71,60,91.88
OG0030022:,55.99,20.45,94.08,26.51,128.44,86.99,348.34,279.93,117.79,257.38,137.01,275.07
OG0030023:,25,294.21,74,188.13,159,67.49,207.99,219,350.1,181.25,116.67,118.03
OG0030024:,1809.65,5373.53,3264.93,2344.79,2657.61,2341.67,1171.7,1182.05,448.4,1715.95,859.72,1247.33
OG0030025:,842.16,2135.53,1563.81,1005.52,1362.05,1012.23,745.43,918.1,261.48,1217.33,518.04,703.38
OG0030026:,3.15,3.22,16.63,9.02,10.99,9.05,105.24,127.17,59.31,124.94,91.44,88.87
OG0030027:,875.32,2320.18,1522.62,1088.73,1412.43,1107.22,915.45,1205.85,395.9,1336.45,703.87,920.76
